,date,email_opened,response,treatment_group_key,UUID_hash2
108,2017-11-24,0.0,0,t8,-5327983971229106157
109,2017-11-25,0.0,0,t9,7874389674804920112
110,2017-11-24,0.0,0,t7,-4156498922949008671
111,2017-11-24,0.0,0,t1,6277318231763688954
112,2017-11-25,1.0,1,t2,818611048840601349
113,2017-11-24,0.0,0,t3,4921836054999070221
114,2017-11-25,1.0,1,t9,-280605573393652185
115,2017-11-25,1.0,1,t1,-8430096072036032162
116,2017-11-26,0.0,0,t8,-5028391931960557941
117,2017-11-24,1.0,1,t5,-4371610970224317007
118,2017-11-26,1.0,1,t2,-8299881421173858770
119,2017-11-24,0.0,0,t6,598501272251241783
120,2017-11-24,0.0,0,t6,-1556161855228892167
121,2017-11-25,1.0,1,t7,-8329080330432317908
122,2017-11-24,1.0,1,t7,3226852841465054545
123,2017-11-26,1.0,1,t5,-7040278811025181395
124,2017-11-23,1.0,1,t8,-414537412297038666
125,2017-11-24,0.0,0,t4,-1033820392001834685
126,2017-11-24,0.0,0,t4,8288676603009994753
127,2017-11-23,0.0,0,t6,-734236428458364650
128,2017-11-24,0.0,0,t7,-4759680282520725760
129,2017-11-24,1.0,1,t9,6610152474524151212
130,2017-11-25,0.0,0,t8,5397027566488067802
131,2017-11-24,0.0,0,t8,-6803941595560677640
132,2017-11-26,1.0,1,t8,-7501016563184054290
133,2017-11-22,0.0,0,t3,-9161028921992846624
134,2017-11-25,0.0,0,t2,-6171476797320115049
135,2017-11-25,1.0,1,t5,5203432395268098425
136,2017-11-22,0.0,0,t5,-5348696519568471029
137,2017-11-26,1.0,1,t3,-7988704831549379463
138,2017-11-23,1.0,1,t1,-6853784614470252084
139,2017-11-25,0.0,0,t2,-7592541202647095814
140,2017-11-25,1.0,1,t7,8770903040181607502
141,2017-11-26,1.0,1,t8,-8836822827930611001
142,2017-11-24,0.0,0,t6,2799010185024272649
143,2017-11-23,0.0,0,t2,4856321620327303893
144,2017-11-23,1.0,1,t8,864752575373435856
145,2017-11-22,1.0,1,t10,-984366009896986933
146,2017-11-23,1.0,1,t1,8041806519966942142
147,2017-11-23,0.0,0,t7,-6301435277860233814
148,2017-11-22,1.0,1,t10,8334426841977448838
149,2017-11-24,1.0,1,t2,6999059710505711501
150,2017-11-26,0.0,0,t5,5408197072049992292
151,2017-11-26,0.0,0,t6,5334734878133652699
152,2017-11-22,0.0,0,t9,-4910365922050520277
153,2017-11-26,1.0,1,t2,-239244645719645535
154,2017-11-24,1.0,1,t5,9011540773390526469
155,2017-11-23,1.0,1,t6,5419121640757450565
156,2017-11-23,1.0,1,t9,8471764632222175670
157,2017-11-23,1.0,1,t3,-5386628071435995546
158,2017-11-26,0.0,0,t9,-4721190875652859841
159,2017-11-26,0.0,0,t5,-4376022188315331370
160,2017-11-23,0.0,0,t10,-7612409765198806944
161,2017-11-26,1.0,1,t5,3469039223425935167
162,2017-11-24,0.0,0,t7,-3598839705792678505
163,2017-11-22,1.0,1,t4,-3819056207952513686
164,2017-11-25,0.0,0,t2,6157963826088716620
165,2017-11-24,0.0,0,t2,8543081867812990484
166,2017-11-22,1.0,1,t9,5170351389052422866
167,2017-11-26,1.0,1,t10,-5568715952399367426
168,2017-11-26,0.0,0,t7,-8656650679459929984
169,2017-11-23,0.0,0,t1,-4747454259758988123
170,2017-11-25,0.0,0,t2,2876755541556423077
171,2017-11-25,1.0,1,t3,8398324406116944493
172,2017-11-26,0.0,0,t2,471145820239673698
173,2017-11-25,0.0,0,t10,1942841533336353349
174,2017-11-23,0.0,0,t5,9049441378837169286
175,2017-11-23,0.0,0,t8,-4971666997112724072
176,2017-11-25,1.0,1,t7,2558368601947546309
177,2017-11-25,0.0,0,t5,6873897376631877693
178,2017-11-22,0.0,0,t8,-8428337323109305284
179,2017-11-25,0.0,0,t3,6676528178139648921
180,2017-11-23,1.0,1,t1,5975706573517631798
181,2017-11-24,0.0,0,t6,1937789126769245079
182,2017-11-23,0.0,0,t3,2191370017126372611
183,2017-11-26,1.0,1,t5,-2423818936633973361
184,2017-11-25,1.0,1,t8,6654413919256342202
185,2017-11-24,1.0,1,t9,-3077961389285185157
186,2017-11-26,1.0,1,t4,1056350859663725390
187,2017-11-25,0.0,0,t6,2044625293694047906
